alpha,method,cov_below50,undercov_gap,macro_cov,train_marginal_cov,set_size_mean
0.01,fuzzy-RErarity-1e-15,0.0,0.0006854766093254132,0.999120552066259,0.9899401236376582,7930.7346788673285
0.01,fuzzy-RErarity-1e-10,0.0,0.000693064170427026,0.9991117372376018,0.9898969237175315,7928.791550392628
0.01,fuzzy-RErarity-1e-05,0.0030704986489805946,0.015341430134378567,0.9841581205202682,0.9899019237147091,559.9606290695914
0.01,fuzzy-RErarity-0.0001,0.0029476787030213707,0.012879295653440393,0.98662732179874,0.9900138779499744,423.0937114673243
0.01,fuzzy-RErarity-0.001,0.002087939081306804,0.009642907641545847,0.9899148966949368,0.9911483925911853,456.99612780409717
0.01,fuzzy-RErarity-0.01,0.002210759027266028,0.009925238968379596,0.9896264590467233,0.9909416127226349,438.88976139485584
0.01,fuzzy-RErarity-0.1,0.0029476787030213707,0.01268266971137928,0.9868472593809459,0.9908111646087173,348.67962446189455
0.01,fuzzy-RErarity-10,0.0040530582166543845,0.017080311715059623,0.9824292781046058,0.9909844321634661,301.5097886516538
0.01,fuzzy-RErarity-1000,0.004175878162613608,0.018121920856073424,0.9813693739020765,0.9906980498098651,289.4204685573366
0.01,cvx-cw_weight=0,0.004175878162613608,0.01819111792441065,0.9812977289336002,0.9906513632055374,286.9145953663444
0.01,cvx-cw_weight=0.25,0.0040530582166543845,0.01741583917621702,0.9820974764512916,0.9911046235285352,307.6046682674627
0.01,cvx-cw_weight=0.5,0.0036845983787767134,0.0159653568385425,0.9835858548240513,0.991818507647469,338.55002487723624
0.01,cvx-cw_weight=0.75,0.0031933185949398184,0.01412116873350573,0.9854899981995247,0.9929891025631269,396.671382525364
0.01,cvx-cw_weight=0.9,0.0029476787030213707,0.011802602250831642,0.9878782872851853,0.9942890152902154,484.089622947628
0.01,cvx-cw_weight=0.95,0.002702038811102923,0.010331211977718751,0.9893949402222294,0.9950731006992249,558.5215999307763
0.01,cvx-cw_weight=0.975,0.002087939081306804,0.008681324925546968,0.99108269881861,0.9957651772585898,640.5564064291432
0.01,cvx-cw_weight=0.99,0.0017194792434291329,0.007205219891901571,0.9926016095382005,0.9965562599279912,760.7474419711424
0.01,cvx-cw_weight=0.999,0.001105379513633014,0.004768914878310314,0.995114991890896,0.9979587247620543,1123.1202976615398
0.01,cvx-cw_weight=1,0.0,0.0,1.0,0.9999999999999999,8142.0
