dataset,alpha,method,method_key,method_params,set_size_metric_type,cov_below50,undercov_gap,macro_cov,train_marginal_cov,set_size
plantnet,0.01,Interp-Q,cvx-cw_weight=0.975,weight=0.975,mean,0.061979648473635525,0.07071161382974181,0.9281118369588693,0.9943705305308208,40.26507456929802
plantnet,0.01,Interp-Q,cvx-cw_weight=0.99,weight=0.99,mean,0.04717853839037928,0.054881383119518595,0.9441657391000906,0.9948821903265461,52.62663923887889
plantnet,0.01,Interp-Q,cvx-cw_weight=0.999,weight=0.999,mean,0.02960222016651249,0.03410104734799393,0.9652391726624087,0.995489302003997,97.67134867575213
plantnet,0.01,Interp-Q,cvx-cw_weight=1,weight=1,mean,0.0,4.866817143173852e-05,0.9997133350219711,0.9963652545861421,1027.447480071998
plantnet,0.01,Fuzzy-rarity,fuzzy-rarity-1e-30,bandwidth=1e,mean,0.0,0.00011228978211020477,0.9995756367418072,0.9957130293815419,1008.1281177680638
plantnet,0.01,Fuzzy-rarity,fuzzy-rarity-1e-15,bandwidth=1e,mean,0.0,0.00011228978211020477,0.9995756367418072,0.9957130293815419,1008.1281177680638
plantnet,0.01,Fuzzy-rarity,fuzzy-rarity-1e-10,bandwidth=1e,mean,0.0,9.75298372104303e-05,0.9995926608417603,0.9959094139130585,1008.1340318848033
plantnet,0.01,Fuzzy-rarity,fuzzy-rarity-1e-05,bandwidth=1e,mean,0.013876040703052728,0.016793092408131018,0.9822768616901775,0.993584566492197,228.84263306762665
plantnet,0.01,Fuzzy-rarity,fuzzy-rarity-0.0001,bandwidth=0.0001,mean,0.01942645698427382,0.021935635136141083,0.9770391164088692,0.9932288618733628,133.89229236307534
plantnet,0.01,Fuzzy-rarity,fuzzy-rarity-0.001,bandwidth=0.001,mean,0.03515263644773358,0.039066003706995756,0.9597777894842369,0.9930914692971455,66.50314991000258
plantnet,0.01,Fuzzy-rarity,fuzzy-rarity-0.01,bandwidth=0.01,mean,0.05920444033302498,0.06663456866491478,0.931869963424718,0.9924365687187551,40.21091540241707
plantnet,0.01,Fuzzy-rarity,fuzzy-rarity-0.1,bandwidth=0.1,mean,0.0786308973172988,0.09456496879377715,0.9036533568010913,0.9917924834497769,25.13200694265878
plantnet,0.01,Fuzzy-rarity,fuzzy-rarity-10,bandwidth=10,mean,0.1147086031452359,0.14065771538119973,0.8568298384852113,0.9903713690800949,13.329712008228336
plantnet,0.01,Fuzzy-rarity,fuzzy-rarity-1000,bandwidth=1000,mean,0.11655874190564293,0.1419156180053503,0.8555713327740281,0.9916539567351514,13.310233993314476
plantnet,0.01,Fuzzy-RErarity,fuzzy-RErarity-1e-30,bandwidth=1e,mean,0.0,0.0002505885763749866,0.9993210798977284,0.9924389765831274,1012.857482643353
plantnet,0.01,Fuzzy-RErarity,fuzzy-RErarity-1e-15,bandwidth=1e,mean,0.0,0.0002505885763749866,0.9993210798977284,0.9924389765831274,1012.857482643353
plantnet,0.01,Fuzzy-RErarity,fuzzy-RErarity-1e-10,bandwidth=1e,mean,0.0,0.0002505885763749866,0.9993210798977284,0.9924389765831274,1012.857482643353
plantnet,0.01,Fuzzy-RErarity,fuzzy-RErarity-1e-05,bandwidth=1e,mean,0.024051803885291396,0.02985599821073185,0.9690358969518983,0.9916163464583405,150.484925430702
plantnet,0.01,Fuzzy-RErarity,fuzzy-RErarity-0.0001,bandwidth=0.0001,mean,0.027752081406105456,0.031653640500649796,0.9672302470203882,0.9924576323738095,73.29670223707895
plantnet,0.01,Fuzzy-RErarity,fuzzy-RErarity-0.001,bandwidth=0.001,mean,0.045328399629972246,0.053127630453431864,0.945532262711139,0.9920707651211947,43.35912188223194
plantnet,0.01,Fuzzy-RErarity,fuzzy-RErarity-0.01,bandwidth=0.01,mean,0.07030527289546716,0.08218351932178809,0.9161390648969391,0.9919231355566027,28.683562612496786
plantnet,0.01,Fuzzy-RErarity,fuzzy-RErarity-0.1,bandwidth=0.1,mean,0.08233117483811286,0.09748906737861823,0.9008288684389824,0.9931241782469435,23.83896888660324
plantnet,0.01,Fuzzy-RErarity,fuzzy-RErarity-10,bandwidth=10,mean,0.1036077705827937,0.1263600628348621,0.8714010042753361,0.9914459173344023,14.29245950115711
plantnet,0.01,Fuzzy-RErarity,fuzzy-RErarity-1000,bandwidth=1000,mean,0.11378353376503238,0.1370121531291332,0.8605541372531542,0.9918666036453716,13.079390588840319
